iter	Passed	Remaining
643	24758	13686
644	24876	13691
645	24918	13655
646	24953	13614
647	24985	13572
648	25014	13528
649	25052	13489
650	25084	13447
651	25119	13407
652	25152	13365
653	25182	13323
654	25217	13282
655	25247	13239
656	25296	13206
657	25329	13164
658	25360	13122
659	25390	13080
660	25427	13040
661	25459	12998
662	25502	12962
663	25532	12919
664	25565	12878
665	25600	12838
666	25634	12798
667	25669	12757
668	25706	12718
669	25741	12678
670	25773	12637
671	25810	12598
672	25849	12559
673	25882	12518
674	25911	12475
675	25943	12434
676	25976	12393
677	26017	12356
678	26076	12327
679	26119	12291
680	26162	12255
681	26195	12214
682	26239	12178
683	26271	12137
684	26301	12095
685	26336	12054
686	26368	12013
687	26404	11974
688	26435	11932
689	26463	11889
690	26499	11849
691	26532	11809
692	26576	11773
693	26609	11732
694	26641	11691
695	26684	11655
696	26717	11614
697	26750	11573
698	26785	11534
699	26820	11494
700	26852	11453
701	26888	11414
702	26920	11373
703	26952	11332
704	26987	11292
705	27034	11257
706	27071	11219
707	27104	11178
708	27137	11138
709	27172	11098
710	27204	11057
711	27238	11017
712	27270	10977
713	27304	10937
714	27335	10895
715	27367	10855
716	27409	10818
717	27446	10779
718	27478	10739
719	27512	10699
720	27545	10659
721	27579	10619
722	27615	10580
723	27647	10539
724	27682	10500
725	27711	10458
726	27742	10417
727	27777	10378
728	27827	10344
729	27858	10303
730	27896	10265
731	27925	10224
732	27972	10189
733	28026	10156
734	28058	10116
735	28097	10078
736	28126	10037
737	28157	9996
738	28198	9959
739	28239	9921
740	28271	9881
741	28303	9841
742	28335	9801
743	28367	9760
744	28401	9721
745	28432	9680
746	28462	9639
747	28497	9600
748	28528	9560
749	28557	9519
750	28591	9479
751	28633	9442
752	28663	9402
753	28696	9362
754	28730	9323
755	28766	9284
756	28806	9246
757	28838	9206
758	28868	9166
759	28907	9128
760	28937	9088
761	28968	9047
762	29039	9019
763	29072	8980
764	29108	8941
765	29140	8902
766	29174	8862
767	29208	8823
768	29239	8783
769	29270	8743
770	29306	8704
771	29338	8664
772	29369	8624
773	29408	8586
774	29452	8550
775	29487	8511
776	29521	8472
777	29551	8432
778	29589	8394
779	29625	8355
780	29664	8318
781	29705	8281
782	29737	8241
783	29773	8203
784	29808	8164
785	29853	8128
786	29889	8089
787	29922	8050
788	29953	8010
789	29990	7972
790	30033	7935
791	30065	7895
792	30100	7857
793	30132	7817
794	30163	7777
795	30200	7739
796	30241	7702
797	30274	7663
798	30306	7623
799	30337	7584
800	30374	7546
801	30406	7506
802	30436	7467
803	30469	7428
804	30504	7389
805	30534	7349
806	30566	7310
807	30611	7273
808	30651	7236
809	30688	7198
810	30719	7159
811	30753	7120
812	30787	7081
813	30822	7042
814	30854	7003
815	30888	6964
816	30918	6925
817	30949	6886
818	30984	6847
819	31016	6808
820	31047	6769
821	31105	6735
822	31133	6695
823	31164	6656
824	31200	6618
825	31233	6579
826	31265	6540
827	31297	6501
828	31327	6462
829	31357	6422
830	31392	6384
831	31422	6344
832	31452	6305
833	31500	6269
834	31531	6230
835	31569	6193
836	31596	6153
837	31630	6114
838	31668	6077
839	31698	6037
840	31732	5999
841	31765	5960
842	31795	5921
843	31842	5885
844	31878	5847
845	31909	5808
846	31943	5770
